CHR,GeneName,TranscriptId,allhetRA,sum_homAA,homAlt_aaf,comp_het,compHet_aaf,sum_KO,inExternalDataset
11,ANKK1,ENST00000303941,5146,49,0.001766012,99,0.00010366,148,TRUE
19,ANKLE1,ENST00000404085,1821,1,9.71E-05,2,2.09E-06,3,TRUE
2,ANKMY1,ENST00000272972,1906,3,0.000140308,0,0,3,TRUE
9,ANKRD18B,ENST00000290943,4509,11,0.001860557,0,0,11,TRUE
10,ANKRD2,ENST00000370655,465,3,3.05E-05,0,0,3,FALSE
9,ANKRD20A4P,ENST00000357336,15,21,2.90E-05,0,0,21,TRUE
10,ANKRD22,ENST00000371930,407,3,6.81E-05,0,0,3,TRUE
2,ANKRD23,ENST00000318357,1777,3,0.0002298,0,0,3,FALSE
19,ANKRD24,ENST00000600132,1631,0,NA,5,5.24E-06,5,FALSE
10,ANKRD26,ENST00000376087,1581,2,5.85E-05,0,0,2,TRUE
19,ANKRD27,ENST00000306065,1480,1,2.03E-06,0,0,1,TRUE
10,ANKRD30A,ENST00000361713,44567,45,0.005972159,33,3.46E-05,78,TRUE
18,ANKRD30B,ENST00000665241,1967,3,0.00017031,0,0,3,TRUE
5,ANKRD31,ENST00000506364,2106,2,2.03E-06,0,0,2,TRUE
5,ANKRD34B,ENST00000338682,47,1,1.53E-06,0,0,1,FALSE
1,ANKRD35,ENST00000355594,6147,7,0.000960797,3,3.14E-06,10,TRUE
2,ANKRD36,ENST00000420699,126675,31,0.00033958,0,0,31,TRUE
11,ANKRD42,ENST00000533342,573,3,2.39E-05,0,0,3,TRUE
4,ANKRD50,ENST00000504087,328,3,0.000100145,0,0,3,TRUE
2,ANKRD53,ENST00000360589,832,3,0.000167247,0,0,3,TRUE
6,ANKRD6,ENST00000339746,584,2,5.08E-06,0,0,2,FALSE
20,ANKRD60,ENST00000457363,4121,19,0.00188245,5,5.24E-06,24,TRUE
14,ANKRD9,ENST00000286918,433,1,0.000167756,0,0,1,TRUE
9,ANKS6,ENST00000353234,1109,2,1.42E-05,0,0,2,FALSE
3,ANKUB1,ENST00000446160,1127,2,4.17E-05,0,0,2,TRUE
2,ANKZF1,ENST00000323348,1658,2,2.39E-05,0,0,2,FALSE
7,ANLN,ENST00000265748,1067,3,0.00032331,0,0,3,TRUE
12,ANO2,ENST00000356134,2700,2,0.000245024,3,3.14E-06,5,TRUE
11,ANO5,ENST00000324559,5302,14,0.002148076,3,3.14E-06,17,TRUE
12,ANO6,ENST00000320560,1165,1,0.000180977,3,3.14E-06,4,TRUE
2,ANO7,ENST00000274979,10905,15,0.003079085,27,2.83E-05,42,TRUE
11,ANO9,ENST00000332826,4469,10,0.001760969,4,4.19E-06,14,TRUE
16,ANTKMT,ENST00000569529,1184,1,7.07E-05,0,0,1,TRUE
2,ANTXR1,ENST00000303714,69,1,1.07E-05,0,0,1,FALSE
10,ANTXRL,ENST00000620264,1063,2,0.000359403,0,0,2,TRUE
9,ANXA1,ENST00000257497,530,1,1.73E-05,0,0,1,FALSE
4,ANXA10,ENST00000359299,1092,1,3.51E-05,0,0,1,FALSE
10,ANXA11,ENST00000422982,770,1,1.27E-05,0,0,1,FALSE
8,ANXA13,ENST00000419625,507,1,2.59E-05,0,0,1,TRUE
4,ANXA3,ENST00000264908,1194,3,0.000329426,0,0,3,TRUE
2,ANXA4,ENST00000394295,446,1,3.66E-05,0,0,1,TRUE
4,ANXA5,ENST00000296511,1306,1,0.000226223,0,0,1,TRUE
10,ANXA7,ENST00000372921,1055,1,0.000370083,0,0,1,TRUE
7,AOAH,ENST00000617537,5436,11,0.002392293,2,2.09E-06,13,TRUE
17,AOC2,ENST00000253799,3016,13,0.000743207,0,0,13,TRUE
9,AOPEP,ENST00000375315,1438,1,1.53E-06,0,0,1,TRUE
2,AOX1,ENST00000374700,3909,10,0.001333926,2,2.09E-06,12,TRUE
11,AP000781.2,ENST00000529411,675,4,0.000315176,0,0,4,FALSE
11,AP000812.5,ENST00000643715,761,1,0.00028925,0,0,1,FALSE
11,AP001781.2,ENST00000622211,790,1,4.27E-05,0,0,1,FALSE
11,AP003108.2,ENST00000541135,264,1,3.87E-05,0,0,1,FALSE
4,AP1AR,ENST00000274000,230,1,2.14E-05,0,0,1,FALSE
14,AP1G2,ENST00000397120,5778,6,0.002088296,3,3.14E-06,9,TRUE
8,AP3M2,ENST00000396926,399,1,3.05E-06,0,0,1,FALSE
15,AP3S2,ENST00000336418,267,1,7.12E-05,0,0,1,FALSE
14,AP5M1,ENST00000261558,335,1,1.02E-06,0,0,1,TRUE
7,AP5Z1,ENST00000649063,1966,1,0.000142846,2,2.09E-06,3,FALSE
19,APBA3,ENST00000316757,1519,2,0.000128118,0,0,2,TRUE
1,APCS,ENST00000255040,20,0,NA,2,2.09E-06,2,FALSE
15,APH1B,ENST00000261879,606,1,8.24E-05,0,0,1,FALSE
11,APIP,ENST00000395787,4562,15,0.002117309,0,0,15,TRUE
2,APLF,ENST00000303795,25031,4,0.000373148,0,0,4,TRUE
19,APLP1,ENST00000221891,421,1,0.000125653,0,0,1,FALSE
11,APOA5,ENST00000227665,810,3,4.47E-05,0,0,3,FALSE
2,APOB,ENST00000233242,1079,1,1.02E-06,2,2.09E-06,3,TRUE
12,APOBEC1,ENST00000229304,14953,81,0.00752711,0,0,81,TRUE
22,APOBEC3B,ENST00000333467,1014,166,0.000670517,0,0,166,TRUE
