studyId,traitFromSource,traitFromSourceMappedIds,diseaseIds,pubmedId,publicationDate,nCases,nControls,nSamples,cohorts,qualityControls,analysisFlags
GCST90389256,T1 FreeSurfer pial rh pericalcarine area,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90389866,REST UKBBICA NET100 0598,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90389965,REST UKBBICA NET100 0697,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90390444,REST UKBBICA NET100 1176,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90390590,REST UKBBICA NET100 1322,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90431831,Right brain hemisphere region V6 cortical thickness,['EFO_0004346'],['EFO_0004346'],39271676,2024-09-13,0.0,0.0,14255.0,['UKB'],[],[]
GCST90431870,Right brain hemisphere region 7AL cortical thickness,['EFO_0004346'],['EFO_0004346'],39271676,2024-09-13,0.0,0.0,14255.0,['UKB'],[],[]
GCST90432681,Cadherin-2 levels,['EFO_0020212'],['EFO_0020212'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90432867,Corticotropin-releasing factor receptor 1 levels,['OBA_2051329'],['OBA_2051329'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90432914,Dipeptidyl peptidase 1 levels,['EFO_0020325'],['EFO_0020325'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90434223,Peptidase inhibitor 16 levels,['OBA_2051623'],['OBA_2051623'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90434371,Receptor-type tyrosine-protein phosphatase beta levels,['OBA_2051658'],['OBA_2051658'],37794183,2023-10-04,0.0,0.0,46327.0,['UKB-PPP'],['Harmonized summary statistics are not available or empty'],[]
GCST90436391,Other disorders of gallbladder (PheCode 575.7),['EFO_0003832'],['EFO_0003832'],30104761,2018-08-13,1412.0,391307.0,392719.0,['UKB'],[],[]
GCST90454822,Patterns of brain structural covariance (C512_180),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90454878,Patterns of brain structural covariance (C512_303),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90455137,Patterns of brain structural covariance (C1024_434),['OBA_2045210'],['OBA_2045210'],38127979,2023-12-21,0.0,0.0,33541.0,['UKB'],['Harmonized summary statistics are not available or empty'],[]
GCST90475030,Volume of right cortical nucleus,['OBA_2050034'],['OBA_2050034'],40097784,2025-03-17,0.0,0.0,18575.0,['UKB'],[],[]
GCST90475978,Tachycardia NOS (PheCode 427.7),['HP_0001649'],['HP_0001649'],39024449,2024-07-19,5094.0,108582.0,113676.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90478336,Gastric ulcer (PheCode 531.2),['EFO_0009454'],['EFO_0009454'],39024449,2024-07-19,1070.0,119145.0,120215.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90479236,Sprains and strains (PheCode 840),['EFO_0009582'],['EFO_0009582'],39024449,2024-07-19,50648.0,345821.0,396469.0,['MVP'],[],[]
GCST90481432,Herpes zoster with nervous system complications (PheCode 53.1),['EFO_0000618' 'EFO_0006510' 'EFO_0009518'],['EFO_0006510' 'EFO_0000618' 'EFO_0009518'],39024449,2024-07-19,461.0,120983.0,121444.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90481776,Obsessive-compulsive disorders (PheCode 300.3),['EFO_0004242'],['EFO_0004242'],39024449,2024-07-19,786.0,120549.0,121335.0,['MVP'],['Harmonized summary statistics are not available or empty'],[]
GCST90566796,Finger osteoarthritis,['EFO_1000789'],['EFO_1000789'],40205036,2025-04-09,16455.0,709038.0,725493.0,"['arcOGEN' 'ARGO' 'UKHLS' 'China Kadoorie Biobank' 'deCODE' 'CHB' 'DBDS'
 'eMERGE' 'EB' 'FinnGen' 'MyCode' 'GS:SFHS' 'HRS' 'HKDDDPC' 'HUNT'
 'Bunkyo' 'HerediGene' 'RIKEN' 'Shimane-CoHRE' 'JOCO' 'LifeLines' 'NEO'
 'NHS' 'MGBB' 'QIMR' 'RS' 'SHIP' 'SIMPLER' 'ToMMo' 'TwinsUK' 'UKB' 'BioMe'
 'G&H' 'NIHR BIORESOURCE' 'MVP' 'OAI']",[],[]
GCST90568931,Gut microbiome abundance (class Ruminococcus sp. 4 (at 1 year) x Winter Birth (Dec-Feb) interaction,['EFO_0007874' 'EFO_0008360'],['EFO_0007874' 'EFO_0008360'],40187613,2025-04-03,0.0,0.0,688.0,['CHILD'],['Harmonized summary statistics are not available or empty'],[]
GCST90568988,Gut microbiome abundance (class Bacteroides sp. 8 (at 1 year) x Winter Birth (Dec-Feb) interaction,['EFO_0007874' 'EFO_0008360'],['EFO_0007874' 'EFO_0008360'],40187613,2025-04-03,0.0,0.0,688.0,['CHILD'],['Harmonized summary statistics are not available or empty'],[]
FINNGEN_R12_C3_THYROID_PAPILLARY_ADENO_EXALLC,"Papillary adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers)",['EFO_0000641' 'EFO_0000641'],['EFO_0000641'],,,2400.0,378749.0,381149.0,['FinnGen'],[],[]
FINNGEN_R12_Q17_BICUSP_AORTIC_VALVE,Bicuspidal aortic valve syndrome,['EFO_0005938'],['EFO_0005938'],,,1261.0,494430.0,495691.0,['FinnGen'],[],[]
GCST000061,Asthma,['MONDO_0004979'],['MONDO_0004979'],17611496,2007-07-26,994.0,1243.0,2237.0,,['Harmonized summary statistics are not available or empty'],[]
GCST000684,Attention deficit hyperactivity disorder,['EFO_0003888'],['EFO_0003888'],20732626,2010-05-14,0.0,0.0,735.0,,['Harmonized summary statistics are not available or empty'],[]
GCST000779,Depression (quantitative trait),['MONDO_0002009'],['MONDO_0002009'],20800221,2010-08-25,0.0,0.0,4811.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001163,Urate levels,['EFO_0004531'],['EFO_0004531'],21768215,2011-07-18,0.0,0.0,8651.0,,['Harmonized summary statistics are not available or empty'],[]
GCST001451,Glaucoma (primary open-angle),['EFO_0004190'],['EFO_0004190'],22419738,2012-03-22,1394.0,6599.0,7993.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002611,Expressive vocabulary in infants,['EFO_0006316'],['EFO_0006316'],25226531,2014-09-16,0.0,0.0,13150.0,,['Harmonized summary statistics are not available or empty'],[]
GCST002837,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),['EFO_0006956' 'OBA_2040119'],['EFO_0006956' 'OBA_2040119'],25813999,2015-04-01,0.0,0.0,64.0,,['Harmonized summary statistics are not available or empty'],[]
GCST003785,Neuroendocrine tumor,['EFO_1001901'],['EFO_1001901'],27492634,2016-08-01,832.0,4542.0,5374.0,,['Harmonized summary statistics are not available or empty'],[]
GCST003876,Gut microbiota (beta diversity),['EFO_0007874'],['EFO_0007874'],27723756,2016-10-10,0.0,0.0,1812.0,,['Harmonized summary statistics are not available or empty'],[]
GCST006720,Hemoglobin levels,['EFO_0004509'],['EFO_0004509'],30188897,2018-09-06,0.0,0.0,921.0,,['Harmonized summary statistics are not available or empty'],[]
GCST007948,KANNO antigen negativity,['EFO_0009949'],['EFO_0009949'],31020675,2019-04-24,4.0,415.0,419.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008407,Diastolic blood pressure x physical activity (least active quartile vs others) interaction (1df),['EFO_0003940' 'EFO_0006336'],['EFO_0006336' 'EFO_0003940'],31167214,2019-06-05,0.0,0.0,6705.0,,['Harmonized summary statistics are not available or empty'],[]
GCST008835,Squamous cell lung carcinoma,['EFO_0000708'],['EFO_0000708'],31326317,2019-07-17,8350.0,27355.0,35705.0,,['Harmonized summary statistics are not available or empty'],[]
GCST009391_111,Metabolite levels,['EFO_0010421'],['EFO_0010421'],23823483,2013-07-02,0.0,0.0,2076.0,,['Harmonized summary statistics are not available or empty'],[]
GCST011020,Intracranial aneurysm,['EFO_0003870'],['EFO_0003870'],33199917,2020-11-16,7495.0,71934.0,79429.0,,['Harmonized summary statistics are not available or empty'],[]
GCST012243,Total body bone mineral density or rheumatoid arthritis (pleiotropy),['EFO_0000685' 'OBA_1000110'],['EFO_0000685' 'OBA_1000110'],33740106,2021-03-19,0.0,0.0,124912.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90004109,IDP dMRI TBSS L1 Cingulum cingulate gyrus R,['EFO_0004641'],['EFO_0004641'],33875891,2021-04-19,0.0,0.0,20860.0,['UKB'],[],[]
GCST90004162,IDP dMRI TBSS L2 Fornix cres+Stria terminalis L,['EFO_0004641'],['EFO_0004641'],33875891,2021-04-19,0.0,0.0,20860.0,['UKB'],[],[]
GCST90004530,IDP dMRI ProbtrackX ISOVF cgc r,['EFO_0004346'],['EFO_0004346'],33875891,2021-04-19,0.0,0.0,20859.0,['UKB'],[],[]
GCST90004652,rfMRI connectivity (ICA25 edge 9),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],[],[]
GCST90005830,rfMRI connectivity (ICA100 edge 977),['OBA_2045295'],['OBA_2045295'],33875891,2021-04-19,0.0,0.0,21081.0,['UKB'],[],[]
GCST90016995,Gut microbiota abundance (genus Escherichia Shigella id.3504),['EFO_0007874'],['EFO_0007874'],33462485,2021-01-18,0.0,0.0,18340.0,,[],[]
GCST90017003,Gut microbiota abundance (genus Eubacterium rectale group id.14374),['EFO_0007874'],['EFO_0007874'],33462485,2021-01-18,0.0,0.0,18340.0,,[],[]
GCST90017073,Gut microbiota abundance (genus Terrisporobacter id.11348),['EFO_0007874'],['EFO_0007874'],33462485,2021-01-18,0.0,0.0,18340.0,,[],[]
GCST90025930,Urgency urinary incontinence,['EFO_0006865'],['EFO_0006865'],33904754,2021-04-27,870.0,8109.0,8979.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90032453,Lachnospira sp000437735 abundance in stool,['EFO_0007874'],['EFO_0007874'],35115689,2022-02-03,0.0,0.0,5959.0,['FINRISK'],[],[]
GCST90032667,JC polyomavirus VP1 antibody levels,['EFO_0010900'],['EFO_0010900'],34532061,2021-06-11,0.0,0.0,8567.0,,['Harmonized summary statistics are not available or empty'],[]
GCST90038647,Retinal problem,['EFO_0003839'],['EFO_0003839'],33959723,2021-04-08,2902.0,481696.0,484598.0,['UKB'],[],[]
