Gene symbol,Ensembl gene ID,Disease name,EFO ID,Therapeutic area,gPS,Number of therapeutic areas
WNK1,ENSG00000060237,lung carcinoma,EFO_0001071,cancer or benign tumor,6,2
CYP2A6,ENSG00000255974,lung carcinoma,EFO_0001071,cancer or benign tumor,23,5
SECISBP2L,ENSG00000138593,lung carcinoma,EFO_0001071,cancer or benign tumor,6,4
CYTH4,ENSG00000100055,uterine fibroid,EFO_0000731,cancer or benign tumor,1,1
TMBIM1,ENSG00000135926,colorectal cancer,MONDO_0005575,cancer or benign tumor,5,3
CAMK2D,ENSG00000145349,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",11,5
IP6K2,ENSG00000068745,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",5,4
GPR65,ENSG00000140030,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",6,3
DLG2,ENSG00000150672,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",4,3
FAM171A1,ENSG00000148468,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",1,1
TOX3,ENSG00000103460,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",26,6
MAP4K4,ENSG00000071054,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",4,2
CTSB,ENSG00000164733,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",7,5
MFN2,ENSG00000116688,tuberculosis,MONDO_0018076,infectious disease,4,4
DOCK3,ENSG00000088538,colorectal cancer,MONDO_0005575,cancer or benign tumor,7,4
VEZT,ENSG00000028203,coronary artery disease,EFO_0001645,cardiovascular disease,5,2
CDKN2A,ENSG00000147889,coronary artery disease,EFO_0001645,cardiovascular disease,15,6
SLC22A1,ENSG00000175003,coronary artery disease,EFO_0001645,cardiovascular disease,13,5
EPOR,ENSG00000187266,coronary artery disease,EFO_0001645,cardiovascular disease,1,1
SLC22A2,ENSG00000112499,coronary artery disease,EFO_0001645,cardiovascular disease,9,4
VWDE,ENSG00000146530,coronary artery disease,EFO_0001645,cardiovascular disease,1,1
GCKR,ENSG00000084734,non-alcoholic fatty liver disease,EFO_0003095,gastrointestinal disease,38,13
CEBPE,ENSG00000092067,acute lymphoblastic leukemia,EFO_0000220,cancer or benign tumor,2,1
GSDMB,ENSG00000073605,acute lymphoblastic leukemia,EFO_0000220,cancer or benign tumor,36,12
CDKN2B,ENSG00000147883,acute lymphoblastic leukemia,EFO_0000220,cancer or benign tumor,148,21
PIP4K2A,ENSG00000150867,acute lymphoblastic leukemia,EFO_0000220,cancer or benign tumor,10,4
TNPO3,ENSG00000064419,anti-topoisomerase-I-antibody-positive systemic scleroderma,EFO_0008537,"genetic, familial or congenital disease",14,7
ZPBP2,ENSG00000186075,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,27,9
DDX6,ENSG00000110367,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,20,11
HCFC1,ENSG00000172534,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,1,1
STAT4,ENSG00000138378,non-typhoidal Salmonella bacteremia,EFO_0009087,infectious disease,33,11
NKX2-5,ENSG00000183072,cardioembolic stroke,EFO_1001976,cardiovascular disease,10,3
PTPN22,ENSG00000134242,myositis,EFO_0000783,musculoskeletal or connective tissue disease,71,15
TMEM106B,ENSG00000106460,frontotemporal dementia,MONDO_0017276,"genetic, familial or congenital disease",18,6
SPPL3,ENSG00000157837,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,10,6
JAZF1,ENSG00000153814,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,42,13
MTRFR,ENSG00000130921,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,9,5
SULT1A1,ENSG00000196502,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,8,5
TLR1,ENSG00000174125,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,19,7
LRRC32,ENSG00000137507,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,36,10
NEGR1,ENSG00000172260,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,27,9
DAW1,ENSG00000123977,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,7,4
PLCL1,ENSG00000115896,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,23,8
ZPBP2,ENSG00000186075,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,27,9
TTC6,ENSG00000139865,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,6,4
RERE,ENSG00000142599,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,19,12
WDR36,ENSG00000134987,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,17,7
ZBTB10,ENSG00000205189,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,27,11
RBM15B,ENSG00000259956,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,2,1
FCER1G,ENSG00000158869,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,7,3
RORA,ENSG00000069667,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,34,11
IL7R,ENSG00000168685,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,29,9
RAD50,ENSG00000113522,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,10,4
IL2,ENSG00000109471,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,16,8
LPP,ENSG00000145012,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,59,14
DDX6,ENSG00000110367,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,20,11
FOSL2,ENSG00000075426,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,15,9
ATXN2,ENSG00000204842,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,44,12
BACH2,ENSG00000112182,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,46,13
ID2,ENSG00000115738,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,17,9
MFSD13A,ENSG00000138111,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,9,7
TNFSF11,ENSG00000120659,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,14,7
SLC7A10,ENSG00000130876,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,26,9
OIP5,ENSG00000104147,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,1,1
ABO,ENSG00000175164,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,105,20
AQP2,ENSG00000167580,allergic rhinitis,EFO_0005854,respiratory or thoracic disease,1,1
SRP14,ENSG00000140319,endometrial carcinoma,EFO_1001512,cancer or benign tumor,6,3
EIF2AK4,ENSG00000128829,endometrial carcinoma,EFO_1001512,cancer or benign tumor,3,3
SH2B3,ENSG00000111252,endometrial carcinoma,EFO_1001512,cancer or benign tumor,87,17
SOX4,ENSG00000124766,endometrial carcinoma,EFO_1001512,cancer or benign tumor,26,8
NKX2-2,ENSG00000125820,Ewing sarcoma,EFO_0000174,cancer or benign tumor,2,2
RREB1,ENSG00000124782,Ewing sarcoma,EFO_0000174,cancer or benign tumor,29,10
S100A10,ENSG00000197747,diverticular disease,EFO_0009959,gastrointestinal disease,1,1
HAS2,ENSG00000170961,diverticular disease,EFO_0009959,gastrointestinal disease,7,6
PDGFC,ENSG00000145431,diverticular disease,EFO_0009959,gastrointestinal disease,9,5
UBTF,ENSG00000108312,diverticular disease,EFO_0009959,gastrointestinal disease,2,2
TRPS1,ENSG00000104447,diverticular disease,EFO_0009959,gastrointestinal disease,28,10
SLC25A28,ENSG00000155287,diverticular disease,EFO_0009959,gastrointestinal disease,6,2
FAM185A,ENSG00000222011,diverticular disease,EFO_0009959,gastrointestinal disease,6,4
SHISA9,ENSG00000237515,periodontitis,EFO_0000649,gastrointestinal disease,11,4
ABO,ENSG00000175164,adolescent idiopathic scoliosis,EFO_0005423,musculoskeletal or connective tissue disease,105,20
SMO,ENSG00000128602,"osteoarthritis, hip",EFO_1000786,musculoskeletal or connective tissue disease,3,2
EP300,ENSG00000100393,"osteoarthritis, hip",EFO_1000786,musculoskeletal or connective tissue disease,20,9
MCHR2,ENSG00000152034,erectile dysfunction,EFO_0004234,reproductive system or breast disease,9,4
GPC5,ENSG00000179399,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,8,6
EEF2KMT,ENSG00000118894,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,1,1
RBPJ,ENSG00000168214,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,1,1
PRXL2B,ENSG00000157870,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,12,7
CXCR5,ENSG00000160683,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,6,4
DNAAF5,ENSG00000164818,Varicose veins,HP_0002619,other,1,1
MAMSTR,ENSG00000176909,Varicose veins,HP_0002619,other,14,6
CNGB3,ENSG00000170289,Varicose veins,HP_0002619,other,1,1
AGGF1,ENSG00000164252,Varicose veins,HP_0002619,other,1,1
SLC7A5,ENSG00000103257,chronic central serous retinopathy,EFO_0009363,disorder of visual system,7,5
TMEM258,ENSG00000134825,Nasal Cavity Polyp,EFO_1000391,cancer or benign tumor,24,9
SOCS1,ENSG00000185338,Nasal Cavity Polyp,EFO_1000391,cancer or benign tumor,12,7
HNF1B,ENSG00000275410,lower urinary tract symptom,EFO_0008008,sign or symptom,22,7
HNF1B,ENSG00000275410,benign prostatic hyperplasia,EFO_0000284,cancer or benign tumor,22,7
BPNT2,ENSG00000104331,allergic disease,MONDO_0005271,immune system disease,2,2
BPNT2,ENSG00000104331,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
RTEL1,ENSG00000258366,asthma,MONDO_0004979,respiratory or thoracic disease,27,6
FLG2,ENSG00000143520,allergic disease,MONDO_0005271,immune system disease,3,3
FLG2,ENSG00000143520,asthma,MONDO_0004979,respiratory or thoracic disease,3,3
TLR10,ENSG00000174123,allergic disease,MONDO_0005271,immune system disease,7,3
SPATA31F3,ENSG00000187791,allergic disease,MONDO_0005271,immune system disease,2,2
SPATA31F3,ENSG00000187791,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
KIF3A,ENSG00000131437,allergic disease,MONDO_0005271,immune system disease,4,3
KIF3A,ENSG00000131437,asthma,MONDO_0004979,respiratory or thoracic disease,4,3
CCDC54,ENSG00000138483,allergic disease,MONDO_0005271,immune system disease,5,3
CCDC54,ENSG00000138483,asthma,MONDO_0004979,respiratory or thoracic disease,5,3
ADAMTS16,ENSG00000145536,allergic disease,MONDO_0005271,immune system disease,14,7
ADAMTS16,ENSG00000145536,asthma,MONDO_0004979,respiratory or thoracic disease,14,7
LAYN,ENSG00000204381,allergic disease,MONDO_0005271,immune system disease,6,4
LAYN,ENSG00000204381,asthma,MONDO_0004979,respiratory or thoracic disease,6,4
SH3BP4,ENSG00000130147,allergic disease,MONDO_0005271,immune system disease,2,2
SH3BP4,ENSG00000130147,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
DDI1,ENSG00000170967,chronic obstructive pulmonary disease,EFO_0000341,respiratory or thoracic disease,10,3
DMWD,ENSG00000185800,coronary artery disease,EFO_0001645,cardiovascular disease,4,3
DMWD,ENSG00000185800,chronic obstructive pulmonary disease,EFO_0000341,respiratory or thoracic disease,4,3
IFNL4,ENSG00000272395,hepatitis C virus infection,EFO_0003047,infectious disease,12,5
CADM2,ENSG00000175161,autosomal dominant compelling helio-ophthalmic outburst syndrome,EFO_0007887,other,22,9
TNFSF15,ENSG00000181634,Oral ulcer,HP_0000155,other,19,10
NLRP3,ENSG00000162711,Oral ulcer,HP_0000155,other,2,2
RIPK2,ENSG00000104312,Oral ulcer,HP_0000155,other,2,2
IRF8,ENSG00000140968,Oral ulcer,HP_0000155,other,27,9
PDE4D,ENSG00000113448,Oral ulcer,HP_0000155,other,5,4
IL12B,ENSG00000113302,Oral ulcer,HP_0000155,other,25,12
IL12A,ENSG00000168811,Oral ulcer,HP_0000155,other,10,7
CEBPB,ENSG00000172216,Oral ulcer,HP_0000155,other,8,5
IKZF1,ENSG00000185811,Oral ulcer,HP_0000155,other,23,10
HCAR3,ENSG00000255398,Oral ulcer,HP_0000155,other,1,1
IL7R,ENSG00000168685,Oral ulcer,HP_0000155,other,29,9
IFNGR1,ENSG00000027697,Oral ulcer,HP_0000155,other,3,3
IL22RA2,ENSG00000164485,Oral ulcer,HP_0000155,other,3,3
TICAM1,ENSG00000127666,Oral ulcer,HP_0000155,other,10,5
TRIB1,ENSG00000173334,Oral ulcer,HP_0000155,other,39,10
MAFB,ENSG00000204103,Oral ulcer,HP_0000155,other,28,8
CCR3,ENSG00000183625,Oral ulcer,HP_0000155,other,1,1
MCL1,ENSG00000143384,Oral ulcer,HP_0000155,other,4,3
RREB1,ENSG00000124782,Oral ulcer,HP_0000155,other,29,10
GSDMD,ENSG00000104518,Oral ulcer,HP_0000155,other,1,1
NOD2,ENSG00000167207,Oral ulcer,HP_0000155,other,11,6
STAT4,ENSG00000138378,Oral ulcer,HP_0000155,other,33,11
GIMAP6,ENSG00000133561,Oral ulcer,HP_0000155,other,1,1
REX1BD,ENSG00000006015,Oral ulcer,HP_0000155,other,1,1
IL19,ENSG00000142224,Oral ulcer,HP_0000155,other,14,7
IL10,ENSG00000136634,Oral ulcer,HP_0000155,other,19,9
CRB1,ENSG00000134376,Oral ulcer,HP_0000155,other,8,4
ZPBP2,ENSG00000186075,Oral ulcer,HP_0000155,other,27,9
IL12RB1,ENSG00000096996,Oral ulcer,HP_0000155,other,2,2
PRDM1,ENSG00000057657,Oral ulcer,HP_0000155,other,17,7
IRF5,ENSG00000128604,Oral ulcer,HP_0000155,other,32,10
RARRES1,ENSG00000118849,Oral ulcer,HP_0000155,other,1,1
PPP5C,ENSG00000011485,Oral ulcer,HP_0000155,other,2,2
GTDC1,ENSG00000121964,Oral ulcer,HP_0000155,other,3,3
STH,ENSG00000256762,Oral ulcer,HP_0000155,other,11,7
OTOL1,ENSG00000182447,Oral ulcer,HP_0000155,other,2,2
NFKB1,ENSG00000109320,Oral ulcer,HP_0000155,other,19,9
LYZ,ENSG00000090382,Oral ulcer,HP_0000155,other,2,2
OPA1,ENSG00000198836,dentures,EFO_0010078,other,4,4
OPA1,ENSG00000198836,dental caries,EFO_0003819,gastrointestinal disease,4,4
CA12,ENSG00000074410,dentures,EFO_0010078,other,5,5
WNT10A,ENSG00000135925,dentures,EFO_0010078,other,7,5
WNT10A,ENSG00000135925,dental caries,EFO_0003819,gastrointestinal disease,7,5
RARB,ENSG00000077092,dentures,EFO_0010078,other,17,10
HAO1,ENSG00000101323,dentures,EFO_0010078,other,16,6
CHRNA3,ENSG00000080644,dentures,EFO_0010078,other,34,8
CHRNA3,ENSG00000080644,dental caries,EFO_0003819,gastrointestinal disease,34,8
KCNH8,ENSG00000183960,dentures,EFO_0010078,other,3,3
PBX3,ENSG00000167081,dentures,EFO_0010078,other,8,5
FOXL1,ENSG00000176678,dentures,EFO_0010078,other,19,6
MTMR3,ENSG00000100330,dentures,EFO_0010078,other,10,7
MTMR3,ENSG00000100330,dental caries,EFO_0003819,gastrointestinal disease,10,7
NEO1,ENSG00000067141,dentures,EFO_0010078,other,3,2
CLIP4,ENSG00000115295,dentures,EFO_0010078,other,3,3
CLIP4,ENSG00000115295,dental caries,EFO_0003819,gastrointestinal disease,3,3
ADCY3,ENSG00000138031,dentures,EFO_0010078,other,10,6
ADCY3,ENSG00000138031,dental caries,EFO_0003819,gastrointestinal disease,10,6
KCNJ3,ENSG00000162989,dentures,EFO_0010078,other,3,3
KCNJ3,ENSG00000162989,dental caries,EFO_0003819,gastrointestinal disease,3,3
MAMSTR,ENSG00000176909,dentures,EFO_0010078,other,14,6
KCNJ2,ENSG00000123700,dentures,EFO_0010078,other,9,6
KCNJ2,ENSG00000123700,dental caries,EFO_0003819,gastrointestinal disease,9,6
ALKAL2,ENSG00000189292,dentures,EFO_0010078,other,14,8
ALKAL2,ENSG00000189292,dental caries,EFO_0003819,gastrointestinal disease,14,8
SALL1,ENSG00000103449,dentures,EFO_0010078,other,12,8
SALL1,ENSG00000103449,dental caries,EFO_0003819,gastrointestinal disease,12,8
AMY1B,ENSG00000174876,dentures,EFO_0010078,other,2,2
AMY1B,ENSG00000174876,dental caries,EFO_0003819,gastrointestinal disease,2,2
AMY1A,ENSG00000237763,dentures,EFO_0010078,other,2,2
AMY1A,ENSG00000237763,dental caries,EFO_0003819,gastrointestinal disease,2,2
AMY1C,ENSG00000187733,dentures,EFO_0010078,other,2,2
AMY1C,ENSG00000187733,dental caries,EFO_0003819,gastrointestinal disease,2,2
NPEPPS,ENSG00000141279,dentures,EFO_0010078,other,13,8
NPEPPS,ENSG00000141279,dental caries,EFO_0003819,gastrointestinal disease,13,8
DMRTA1,ENSG00000176399,dentures,EFO_0010078,other,13,9
STAG1,ENSG00000118007,dentures,EFO_0010078,other,22,7
STAG1,ENSG00000118007,dental caries,EFO_0003819,gastrointestinal disease,22,7
MC4R,ENSG00000166603,dentures,EFO_0010078,other,24,11
PITX1,ENSG00000069011,dentures,EFO_0010078,other,15,4
MUC1,ENSG00000185499,dentures,EFO_0010078,other,14,7
ZNF804A,ENSG00000170396,dentures,EFO_0010078,other,13,4
ZNF804A,ENSG00000170396,dental caries,EFO_0003819,gastrointestinal disease,13,4
SOX9,ENSG00000125398,dentures,EFO_0010078,other,30,12
FGF10,ENSG00000070193,dentures,EFO_0010078,other,10,5
FAM118A,ENSG00000100376,dentures,EFO_0010078,other,8,5
NFU1,ENSG00000169599,dentures,EFO_0010078,other,16,7
NFU1,ENSG00000169599,dental caries,EFO_0003819,gastrointestinal disease,16,7
PRUNE2,ENSG00000106772,dentures,EFO_0010078,other,2,2
BAHCC1,ENSG00000266074,dentures,EFO_0010078,other,4,3
BAHCC1,ENSG00000266074,dental caries,EFO_0003819,gastrointestinal disease,4,3
INO80E,ENSG00000169592,dentures,EFO_0010078,other,14,6
INO80E,ENSG00000169592,dental caries,EFO_0003819,gastrointestinal disease,14,6
CLPTM1L,ENSG00000049656,lung adenocarcinoma,EFO_0000571,cancer or benign tumor,51,8
ASB3,ENSG00000115239,anorexia nervosa,MONDO_0005351,nervous system disease,4,3
NCKIPSD,ENSG00000213672,anorexia nervosa,MONDO_0005351,nervous system disease,2,2
CADM1,ENSG00000182985,anorexia nervosa,MONDO_0005351,nervous system disease,12,6
JRK,ENSG00000234616,atrophic gastritis,EFO_1000826,gastrointestinal disease,7,3
RREB1,ENSG00000124782,multiple sclerosis,MONDO_0005301,immune system disease,29,10
RREB1,ENSG00000124782,chronic lymphocytic leukemia,EFO_0000095,cancer or benign tumor,29,10
CIMAP1B,ENSG00000177989,chronic lymphocytic leukemia,EFO_0000095,cancer or benign tumor,2,2
LRRC34,ENSG00000171757,multiple sclerosis,MONDO_0005301,immune system disease,8,3
LRRC34,ENSG00000171757,chronic lymphocytic leukemia,EFO_0000095,cancer or benign tumor,8,3
PTPRK,ENSG00000152894,chronic lymphocytic leukemia,EFO_0000095,cancer or benign tumor,10,5
BOC,ENSG00000144857,adolescent idiopathic scoliosis,EFO_0005423,musculoskeletal or connective tissue disease,11,4
SEC16B,ENSG00000120341,adolescent idiopathic scoliosis,EFO_0005423,musculoskeletal or connective tissue disease,8,3
CNTFR,ENSG00000122756,adolescent idiopathic scoliosis,EFO_0005423,musculoskeletal or connective tissue disease,1,1
TDP1,ENSG00000042088,Epithelioid Cell Uveal Melanoma,EFO_1000244,cancer or benign tumor,2,1
EFCAB11,ENSG00000140025,Epithelioid Cell Uveal Melanoma,EFO_1000244,cancer or benign tumor,2,1
ZNF346,ENSG00000113761,Menorrhagia,HP_0000132,other,5,3
STAC,ENSG00000144681,diabetic nephropathy,EFO_0000401,urinary system disease,5,3
COL4A3,ENSG00000169031,diabetic nephropathy,EFO_0000401,urinary system disease,15,4
SEMA3C,ENSG00000075223,glaucoma,MONDO_0005041,disorder of visual system,4,2
BMPER,ENSG00000164619,glaucoma,MONDO_0005041,disorder of visual system,1,1
HERC2,ENSG00000128731,glaucoma,MONDO_0005041,disorder of visual system,31,7
ZNF652,ENSG00000198740,glaucoma,MONDO_0005041,disorder of visual system,34,10
NR1H3,ENSG00000025434,glaucoma,MONDO_0005041,disorder of visual system,5,4
FERMT2,ENSG00000073712,glaucoma,MONDO_0005041,disorder of visual system,13,5
ANTXR1,ENSG00000169604,glaucoma,MONDO_0005041,disorder of visual system,9,4
C22orf31,ENSG00000100249,glaucoma,MONDO_0005041,disorder of visual system,3,3
ZNRF3,ENSG00000183579,glaucoma,MONDO_0005041,disorder of visual system,22,9
COL4A1,ENSG00000187498,glaucoma,MONDO_0005041,disorder of visual system,20,4
OR4C46,ENSG00000185926,glaucoma,MONDO_0005041,disorder of visual system,5,3
SPCS3,ENSG00000129128,glaucoma,MONDO_0005041,disorder of visual system,3,3
BABAM2,ENSG00000158019,glaucoma,MONDO_0005041,disorder of visual system,8,5
ZFP36L2,ENSG00000152518,glaucoma,MONDO_0005041,disorder of visual system,19,9
ARHGAP12,ENSG00000165322,glaucoma,MONDO_0005041,disorder of visual system,3,3
BCAS3,ENSG00000141376,glaucoma,MONDO_0005041,disorder of visual system,24,9
FER,ENSG00000151422,glaucoma,MONDO_0005041,disorder of visual system,17,9
TMEM181,ENSG00000146433,glaucoma,MONDO_0005041,disorder of visual system,2,1
SEMA3F,ENSG00000001617,glaucoma,MONDO_0005041,disorder of visual system,14,9
LGALS1,ENSG00000100097,glaucoma,MONDO_0005041,disorder of visual system,3,3
EMID1,ENSG00000186998,glaucoma,MONDO_0005041,disorder of visual system,5,3
BBS9,ENSG00000122507,glaucoma,MONDO_0005041,disorder of visual system,3,2
SYN3,ENSG00000185666,glaucoma,MONDO_0005041,disorder of visual system,9,4
SIX3,ENSG00000138083,glaucoma,MONDO_0005041,disorder of visual system,12,8
ETS1,ENSG00000134954,glaucoma,MONDO_0005041,disorder of visual system,31,13
MADD,ENSG00000110514,glaucoma,MONDO_0005041,disorder of visual system,4,3
LMO4,ENSG00000143013,glaucoma,MONDO_0005041,disorder of visual system,10,5
FKBP9,ENSG00000122642,glaucoma,MONDO_0005041,disorder of visual system,1,1
PCSK5,ENSG00000099139,glaucoma,MONDO_0005041,disorder of visual system,4,3
SUPT3H,ENSG00000196284,glaucoma,MONDO_0005041,disorder of visual system,12,5
TSC22D2,ENSG00000196428,glaucoma,MONDO_0005041,disorder of visual system,11,6
PTPMT1,ENSG00000110536,glaucoma,MONDO_0005041,disorder of visual system,2,2
OR4C13,ENSG00000258817,glaucoma,MONDO_0005041,disorder of visual system,4,3
ST7L,ENSG00000007341,glaucoma,MONDO_0005041,disorder of visual system,4,3
SPTBN1,ENSG00000115306,glaucoma,MONDO_0005041,disorder of visual system,8,5
JAG1,ENSG00000101384,glaucoma,MONDO_0005041,disorder of visual system,20,8
PDE7B,ENSG00000171408,glaucoma,MONDO_0005041,disorder of visual system,5,4
SH2B3,ENSG00000111252,glaucoma,MONDO_0005041,disorder of visual system,87,17
PRKAG2,ENSG00000106617,glaucoma,MONDO_0005041,disorder of visual system,13,6
ZNF276,ENSG00000158805,glaucoma,MONDO_0005041,disorder of visual system,9,5
TCF12,ENSG00000140262,glaucoma,MONDO_0005041,disorder of visual system,6,4
PTPN1,ENSG00000196396,glaucoma,MONDO_0005041,disorder of visual system,12,4
CDH11,ENSG00000140937,glaucoma,MONDO_0005041,disorder of visual system,7,5
PLPPR3,ENSG00000129951,glaucoma,MONDO_0005041,disorder of visual system,4,2
ZNF366,ENSG00000178175,glaucoma,MONDO_0005041,disorder of visual system,6,3
POU6F2,ENSG00000106536,glaucoma,MONDO_0005041,disorder of visual system,3,2
RPL31,ENSG00000071082,glaucoma,MONDO_0005041,disorder of visual system,3,2
KIF18A,ENSG00000121621,glaucoma,MONDO_0005041,disorder of visual system,10,6
ACTRT3,ENSG00000184378,idiopathic pulmonary fibrosis,EFO_0000768,cancer or benign tumor,19,3
ELFN1,ENSG00000225968,idiopathic pulmonary fibrosis,EFO_0000768,cancer or benign tumor,25,8
FADS2,ENSG00000134824,type 2 diabetes mellitus,MONDO_0005148,pancreas disease,44,11
ITPR3,ENSG00000096433,membranous glomerulonephritis,EFO_0004254,urinary system disease,22,12
WDR62,ENSG00000075702,membranous glomerulonephritis,EFO_0004254,urinary system disease,1,1
AP1S3,ENSG00000152056,asthma,MONDO_0004979,respiratory or thoracic disease,5,3
CD200R1,ENSG00000163606,asthma,MONDO_0004979,respiratory or thoracic disease,4,3
PLCL1,ENSG00000115896,asthma,MONDO_0004979,respiratory or thoracic disease,23,8
ZBTB4,ENSG00000174282,asthma,MONDO_0004979,respiratory or thoracic disease,7,5
RCOR1,ENSG00000089902,asthma,MONDO_0004979,respiratory or thoracic disease,1,1
RAPGEF6,ENSG00000158987,asthma,MONDO_0004979,respiratory or thoracic disease,3,2
CADM3,ENSG00000162706,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
RTF1,ENSG00000137815,asthma,MONDO_0004979,respiratory or thoracic disease,1,1
SCAF8,ENSG00000213079,asthma,MONDO_0004979,respiratory or thoracic disease,1,1
PRAG1,ENSG00000275342,asthma,MONDO_0004979,respiratory or thoracic disease,15,11
SOX4,ENSG00000124766,asthma,MONDO_0004979,respiratory or thoracic disease,26,8
IKZF1,ENSG00000185811,asthma,MONDO_0004979,respiratory or thoracic disease,23,10
ADAMTSL3,ENSG00000156218,asthma,MONDO_0004979,respiratory or thoracic disease,11,6
PRXL2B,ENSG00000157870,asthma,MONDO_0004979,respiratory or thoracic disease,12,7
SRGAP2,ENSG00000266028,asthma,MONDO_0004979,respiratory or thoracic disease,5,5
SMAD4,ENSG00000141646,asthma,MONDO_0004979,respiratory or thoracic disease,6,3
SPPL3,ENSG00000157837,asthma,MONDO_0004979,respiratory or thoracic disease,10,6
FUT11,ENSG00000196968,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
SH2B3,ENSG00000111252,asthma,MONDO_0004979,respiratory or thoracic disease,87,17
DOCK3,ENSG00000088538,asthma,MONDO_0004979,respiratory or thoracic disease,7,4
LBH,ENSG00000213626,asthma,MONDO_0004979,respiratory or thoracic disease,9,7
NOD2,ENSG00000167207,asthma,MONDO_0004979,respiratory or thoracic disease,11,6
ZBTB38,ENSG00000177311,asthma,MONDO_0004979,respiratory or thoracic disease,18,8
POLI,ENSG00000101751,asthma,MONDO_0004979,respiratory or thoracic disease,8,5
USP25,ENSG00000155313,asthma,MONDO_0004979,respiratory or thoracic disease,12,7
SESN1,ENSG00000080546,asthma,MONDO_0004979,respiratory or thoracic disease,8,4
PLCL2,ENSG00000154822,asthma,MONDO_0004979,respiratory or thoracic disease,18,10
HIVEP2,ENSG00000010818,asthma,MONDO_0004979,respiratory or thoracic disease,10,7
COL15A1,ENSG00000204291,asthma,MONDO_0004979,respiratory or thoracic disease,5,3
PAPOLG,ENSG00000115421,asthma,MONDO_0004979,respiratory or thoracic disease,3,3
CARD11,ENSG00000198286,asthma,MONDO_0004979,respiratory or thoracic disease,6,4
KLF2,ENSG00000127528,asthma,MONDO_0004979,respiratory or thoracic disease,8,6
PTTG1,ENSG00000164611,asthma,MONDO_0004979,respiratory or thoracic disease,9,5
ZC3H12D,ENSG00000178199,asthma,MONDO_0004979,respiratory or thoracic disease,6,4
NAGLU,ENSG00000108784,asthma,MONDO_0004979,respiratory or thoracic disease,1,1
TASOR,ENSG00000163946,asthma,MONDO_0004979,respiratory or thoracic disease,2,2
TSPAN8,ENSG00000127324,asthma,MONDO_0004979,respiratory or thoracic disease,6,5
DPP4,ENSG00000197635,asthma,MONDO_0004979,respiratory or thoracic disease,7,4
UBASH3A,ENSG00000160185,asthma,MONDO_0004979,respiratory or thoracic disease,14,8
MAP2K4,ENSG00000065559,asthma,MONDO_0004979,respiratory or thoracic disease,6,4
