Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
NDUFAB1,ENSG00000004779,fibromyalgia,EFO_0005687,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,neuropathic pain,EFO_0005762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,primary progressive multiple sclerosis,EFO_0008520,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,secondary progressive multiple sclerosis,EFO_0008522,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,burn,EFO_0009516,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,pleural effusion,EFO_0009637,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,aging,EFO_0022597,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,cerebral palsy,EFO_1000632,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,hidradenitis suppurativa,EFO_1000710,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,diabetic neuropathy,EFO_1000783,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,"osteoarthritis, hand",EFO_1000789,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,prediabetes syndrome,EFO_1001121,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,systolic heart failure,EFO_1001207,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,non-alcoholic steatohepatitis,EFO_1001249,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,HIV-Associated Lipodystrophy Syndrome,EFO_1001348,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,diabetic foot,EFO_1001459,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,endothelial dysfunction,EFO_1001461,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,atrophic macular degeneration,EFO_1001492,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Autosomal dominant polycystic kidney disease,EFO_1001496,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,oral submucous fibrosis,EFO_1001818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,generalized anxiety disorder,EFO_1001892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Hyperinsulinemia,HP_0000842,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Intellectual disability,HP_0001249,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Mental deterioration,HP_0001268,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Hepatic steatosis,HP_0001397,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Ascites,HP_0001541,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Elevated circulating hepatic transaminase concentration,HP_0002910,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Hypercholesterolemia,HP_0003124,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Low back pain,HP_0003419,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Abnormal blood glucose concentration,HP_0011015,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Hepatitis,HP_0012115,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Cognitive impairment,HP_0100543,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Sepsis,HP_0100806,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,blindness (disorder),MONDO_0001941,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,major depressive disorder,MONDO_0002009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,diabetes insipidus,MONDO_0004782,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,bipolar disorder,MONDO_0004985,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,glaucoma,MONDO_0005041,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,schizophrenia,MONDO_0005090,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,type 1 diabetes mellitus,MONDO_0005147,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,type 2 diabetes mellitus,MONDO_0005148,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0
NDUFAB1,ENSG00000004779,osteoarthritis,MONDO_0005178,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Parkinson disease,MONDO_0005180,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,migraine disorder,MONDO_0005277,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,brain ischemia,MONDO_0005299,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,multiple sclerosis,MONDO_0005301,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Huntington disease,MONDO_0007739,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,fragile X syndrome,MONDO_0010383,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Duchenne muscular dystrophy,MONDO_0010679,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,sickle cell anemia,MONDO_0011382,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Bardet-Biedl syndrome,MONDO_0015229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,frontotemporal dementia,MONDO_0017276,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,sex chromosome disorder of sex development,MONDO_0017975,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,tuberculosis,MONDO_0018076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,sarcoidosis,MONDO_0019338,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Stargardt disease,MONDO_0019353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Fanconi anemia,MONDO_0019391,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,muscular dystrophy,MONDO_0020121,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,COVID-19,MONDO_0100096,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,long COVID-19,MONDO_0100233,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,inflammation,MP_0001845,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Disorder of lipid metabolism,Orphanet_309005,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
PDK4,ENSG00000004799,pulmonary arterial hypertension,EFO_0001361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
PDK4,ENSG00000004799,heart disease,EFO_0003777,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
PDK4,ENSG00000004799,lactic acidosis,EFO_1000036,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
PDK4,ENSG00000004799,pyruvate dehydrogenase deficiency,MONDO_0019169,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
CALCR,ENSG00000004948,diabetes mellitus,EFO_0000400,0.8801334500312805,0.0345240504705287,0.3236467877016469,0.0,4.0,1.0,1.0,1,1
