studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
GCST90476045,['EFO_0009544'],['esophageal disease'],['EFO_0010282'],gastrointestinal disease,-0.0428122744043482,4.0,-12,11.39793998003006
GCST90476081,['EFO_0001421'],['liver disease'],['EFO_0010282'],gastrointestinal disease,-0.1232227345597374,6.0770917,-26,25.216304183006287
GCST90476084,['EFO_0001421'],['liver disease'],['EFO_0010282'],gastrointestinal disease,-0.12705961061310914,2.166258,-26,25.66428980231285
GCST90476386,['EFO_0008568'],['Sleep Disorder'],['EFO_0000618'],nervous system disease,-0.05153178880935761,1.7746814,-10,9.75087958574295
GCST90476491,['MONDO_0002039'],['cognitive disorder'],['EFO_0000618'],nervous system disease,0.3540494151866572,5.0,-18,17.301029980182648
GCST90476492,['MONDO_0002039'],['cognitive disorder'],['EFO_0000618'],nervous system disease,0.21582967559863106,2.0,-28,27.69896999001503
GCST90476493,['MONDO_0002039'],['cognitive disorder'],['EFO_0000618'],nervous system disease,0.4178701703029675,5.0,-306,305.30102998018265
GCST90476494,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.5002822133904811,2.0,-21,20.69896999001503
GCST90476495,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.40183507510222793,4.0,-56,55.39793998003006
GCST90476497,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.0083157339588205,3.0,-20,19.522878736257553
GCST90476498,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.8650591293144788,2.0,-46,45.69896999001503
GCST90476499,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.01104973062496,3.0,-267,266.52287873625755
GCST90476500,['MONDO_0017276'],['frontotemporal dementia'],['EFO_0000618'],nervous system disease,0.5336281540156902,1.0,-30,30.0
GCST90476501,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.4012986449751925,6.0,-20,19.221848726272583
GCST90476502,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.5838934885719056,4.0,-87,86.39793998003006
GCST90476503,['EFO_0009267'],['delirium'],['EFO_0000618'],nervous system disease,0.25695913787824803,2.0,-22,21.69896999001503
GCST90476504,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.2369889370366601,2.0,-56,55.69896999001503
GCST90476505,['EFO_0000618'],['nervous system disease'],['other'],other,0.11771841463745798,3.0,-15,14.522878736257553
GCST90476506,['EFO_0000618'],['nervous system disease'],['other'],other,0.24195265954465006,8.0,-166,165.0969099998474
GCST90476507,['HP_0100543'],['Cognitive impairment'],['other'],other,0.3625287826425283,8.0,-130,129.0969099998474
GCST90476508,['EFO_1001454'],['amnesia'],['EFO_0000618'],nervous system disease,0.28551583565126243,2.0,-67,66.69896999001503
GCST90476509,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.2013172511059454,3.0,-33,32.52287873625755
GCST90479447,['EFO_0008568'],['Sleep Disorder'],['EFO_0000618'],nervous system disease,-0.051473417383918856,3.8065736,-10,9.419465780258179
GCST90479543,['EFO_0001645'],['coronary artery disease'],['EFO_0000319'],cardiovascular disease,0.0604508150499407,2.8313386,-12,11.548008173704147
GCST90479551,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,0.06013734069871669,8.557133,-10,9.067671716213226
GCST90479574,['EFO_0000400'],['diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.05513824663104995,6.3136945,-9,8.199716448783875
GCST90479589,['EFO_0000400'],['diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.04800483472757942,1.0,-11,11.0
GCST90479696,['EFO_0000400'],['diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.07061053896559352,1.7734015,-17,16.751192927360535
GCST90479718,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.6376359995140899,1.0,-113,113.0
GCST90479721,['EFO_0001072'],['memory impairment'],['other'],other,0.15097639767208595,1.4733157,-48,47.831704184412956
GCST90479756,['EFO_0003765'],['sign or symptom'],['other'],other,0.09708169529755266,2.3479097,-19,18.62931862473488
GCST90479881,['EFO_0004997'],['type 2 diabetes nephropathy'],['EFO_0009690'],urinary system disease,-0.05931696141371471,8.714203,-9,8.059772312641144
GCST90479885,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.042175570423851984,6.0,-16,15.221848726272583
GCST90479891,['EFO_0003770'],['diabetic retinopathy'],['MONDO_0024458'],disorder of visual system,-0.06058942494778863,1.3575132,-10,9.867255941033363
GCST90479892,['EFO_0000400'],['diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.041563292365623394,1.5562333,-15,14.807925298810005
GCST90479924,['HP_0003124'],['Hypercholesterolemia'],['other'],other,0.11142204955501686,2.8546581,-55,54.544445902109146
GCST90479926,['HP_0003077'],['Hyperlipidemia'],['other'],other,0.10896458109892586,8.684028,-70,69.06127882003784
GCST90479955,"['EFO_0001073', 'MONDO_0003916']","['obesity', 'overnutrition']",['OTAR_0000020'],nutritional or metabolic disease,-0.032541122358321066,4.4739866,-10,9.349305331707
GCST90480043,['EFO_0009606'],['macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.0978728636906299,8.0,-17,16.096909999847412
GCST90480044,['EFO_0009606'],['macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.13602656431663035,7.6667595,-10,9.11538815498352
GCST90480132,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,0.049872699707058384,1.0081438,-17,16.996477523818612
GCST90480195,['EFO_0003763'],['cerebrovascular disorder'],['EFO_0000319'],cardiovascular disease,0.04763363678343596,1.2893444,-11,10.889631055295467
GCST90480202,['EFO_0004214'],['Abdominal Aortic Aneurysm'],['EFO_0000319'],cardiovascular disease,0.1396266502708502,1.50013,-21,20.823871091008186
GCST90480203,['EFO_0001666'],['aortic aneurysm'],['EFO_0000319'],cardiovascular disease,0.09964058655083068,1.9064387,-15,14.719777166843414
GCST90480206,['EFO_0009659'],['aneurysm'],['EFO_0000319'],cardiovascular disease,0.09421555301421718,9.0,-16,15.045757472515106
GCST90480341,['EFO_0001421'],['liver disease'],['EFO_0010282'],gastrointestinal disease,-0.09931988030489634,2.0,-25,24.69896999001503
GCST90480682,['HP_0003124'],['Hypercholesterolemia'],['other'],other,0.07982750231386743,1.9489744,-17,16.710193872451782
